user_id,signup_date,signup_source,step_name,step_timestamp,activity_date,event_type,cohort_date,days_since_signup,is_active
1,2023-07-05,Mobile,landing_page,2023-07-05 18:00:00,2023-07-05,signup,2023-07-05,0,0
1,2023-07-05,Mobile,signup_start,2023-07-05 18:31:00,2023-07-05,signup,2023-07-05,0,0
1,2023-07-05,Mobile,otp_requested,2023-07-05 19:05:00,2023-07-05,otp,2023-07-05,0,0
1,2023-07-05,Mobile,otp_verified,2023-07-05 19:31:00,2023-07-05,otp,2023-07-05,0,0
1,2023-07-05,Mobile,account_created,2023-07-05 20:03:00,2023-07-05,create_account,2023-07-05,0,1
2,2023-07-23,Mobile,landing_page,2023-07-23 15:01:00,2023-07-23,signup,2023-07-23,0,0
2,2023-07-23,Mobile,signup_start,2023-07-23 15:33:00,2023-07-23,signup,2023-07-23,0,0
2,2023-07-23,Mobile,otp_requested,2023-07-23 16:00:00,2023-07-23,otp,2023-07-23,0,0
2,2023-07-23,Mobile,otp_verified,2023-07-23 16:31:00,2023-07-23,otp,2023-07-23,0,0
2,2023-07-23,Mobile,account_created,2023-07-23 17:02:00,2023-07-23,create_account,2023-07-23,0,1
3,2023-07-22,Mobile,landing_page,2023-07-22 08:01:00,2023-07-22,signup,2023-07-22,0,0
3,2023-07-22,Mobile,signup_start,2023-07-22 08:31:00,2023-07-22,signup,2023-07-22,0,0
3,2023-07-22,Mobile,otp_requested,2023-07-22 09:05:00,2023-07-22,otp,2023-07-22,0,0
3,2023-07-22,Mobile,otp_verified,2023-07-22 09:34:00,2023-07-22,otp,2023-07-22,0,0
3,2023-07-22,Mobile,account_created,2023-07-22 10:00:00,2023-07-22,create_account,2023-07-22,0,1
4,2023-07-09,Mobile,landing_page,2023-07-09 16:04:00,2023-07-09,signup,2023-07-09,0,0
4,2023-07-09,Mobile,signup_start,2023-07-09 16:31:00,2023-07-09,signup,2023-07-09,0,0
4,2023-07-09,Mobile,otp_requested,2023-07-09 17:04:00,2023-07-09,otp,2023-07-09,0,0
5,2023-07-25,Web,landing_page,2023-07-25 09:05:00,2023-07-25,signup,2023-07-25,0,0
5,2023-07-25,Web,signup_start,2023-07-25 09:30:00,2023-07-25,signup,2023-07-25,0,0
5,2023-07-25,Web,otp_requested,2023-07-25 10:05:00,2023-07-25,otp,2023-07-25,0,0
5,2023-07-25,Web,otp_verified,2023-07-25 10:32:00,2023-07-25,otp,2023-07-25,0,0
5,2023-07-25,Web,account_created,2023-07-25 11:03:00,2023-07-25,create_account,2023-07-25,0,1
6,2023-07-06,Web,landing_page,2023-07-06 14:05:00,2023-07-06,signup,2023-07-06,0,0
6,2023-07-06,Web,signup_start,2023-07-06 14:32:00,2023-07-06,signup,2023-07-06,0,0
6,2023-07-06,Web,otp_requested,2023-07-06 15:01:00,2023-07-06,otp,2023-07-06,0,0
